,total_companies,has_balance_sheet,key_metrics,coverage_pct,Total Assets_pct,Total Liabilities_pct,Total Equity_pct,Current Assets_pct,Current Liabilities_pct,Total Debt_pct,Cash And Cash Equivalents_pct,Total Current Assets_pct,Net Debt_pct,Total Non Current Assets_pct,Property Plant Equipment Net_pct,Total Non Current Liabilities_pct
2025 Q1,145981,145981,"defaultdict(<class 'int'>, {'Total Assets': 145981, 'Current Assets': 142581, 'Current Liabilities': 142581, 'Total Debt': 143965, 'Cash And Cash Equivalents': 145981, 'Net Debt': 114033, 'Total Non Current Assets': 142581})",100.00,100.00,0.00,0.00,97.67,97.67,98.62,100.00,0.00,78.11,97.67,0.00,0.00
2024 Q4,5524,5524,"defaultdict(<class 'int'>, {'Total Assets': 5524, 'Current Assets': 4305, 'Current Liabilities': 4305, 'Total Debt': 5366, 'Cash And Cash Equivalents': 5524, 'Total Non Current Assets': 4305, 'Net Debt': 3432})",100.00,100.00,0.00,0.00,77.93,77.93,97.14,100.00,0.00,62.13,77.93,0.00,0.00
2024 Q3,148197,148197,"defaultdict(<class 'int'>, {'Total Assets': 148197, 'Current Assets': 144838, 'Current Liabilities': 144838, 'Total Debt': 145995, 'Cash And Cash Equivalents': 148197, 'Net Debt': 116066, 'Total Non Current Assets': 144838})",100.00,100.00,0.00,0.00,97.73,97.73,98.51,100.00,0.00,78.32,97.73,0.00,0.00
2024 Q2,6479,6479,"defaultdict(<class 'int'>, {'Total Assets': 6479, 'Current Assets': 5168, 'Current Liabilities': 5168, 'Total Debt': 6321, 'Cash And Cash Equivalents': 6479, 'Net Debt': 4007, 'Total Non Current Assets': 5168})",100.00,100.00,0.00,0.00,79.77,79.77,97.56,100.00,0.00,61.85,79.77,0.00,0.00
2024 Q1,152319,152319,"defaultdict(<class 'int'>, {'Total Assets': 152319, 'Current Assets': 148864, 'Current Liabilities': 148864, 'Total Debt': 150085, 'Cash And Cash Equivalents': 152319, 'Net Debt': 119436, 'Total Non Current Assets': 148864})",100.00,100.00,0.00,0.00,97.73,97.73,98.53,100.00,0.00,78.41,97.73,0.00,0.00
2023 Q4,7686,7686,"defaultdict(<class 'int'>, {'Total Assets': 7686, 'Current Assets': 6859, 'Current Liabilities': 6859, 'Total Debt': 7577, 'Cash And Cash Equivalents': 7686, 'Net Debt': 5348, 'Total Non Current Assets': 6859})",100.00,100.00,0.00,0.00,89.24,89.24,98.58,100.00,0.00,69.58,89.24,0.00,0.00
